AppID,name,genres
4001150,Sellsword Tales Demo,[]
4115890,Color Splash: Mushrooms,"['캐주얼', '인디']"
1793330,Brew,"['액션', '인디', 'RPG']"
4116740,Active Matter Demo,"['액션', '대규모 멀티플레이어']"
3108230,Nice To Yeet You,"['액션', '캐주얼', '인디', '앞서 해보기']"
3797030,Ultra Maze Demo,"['캐주얼', '인디']"
4025350,펜티멘토 데모,"['인디', '시뮬레이션']"
2115490,High School Dirty Secrets,"['액션', '어드벤처', '인디']"
3932930,Turbo Carnage,['액션']
1968180,DIGGERGUN,"['액션', '어드벤처', '인디', '시뮬레이션']"
3656660,Deep Space Exploitation,"['액션', '인디', '시뮬레이션']"
3739030,Street Drive Rush,"['인디', '레이싱']"
4140350,Tower! Simulator 3 - EDDH Airport,"['캐주얼', '인디', '시뮬레이션', '전략']"
4054290,DONTCRUSH,"['어드벤처', '캐주얼', '인디']"
3948840,Fatebreaker,"['인디', 'RPG']"
4124680,THE FINALS - FN ESPORTS TGM25,"['액션', '무료 플레이']"
4124670,THE FINALS - FIVE FEARS TGM25,"['액션', '무료 플레이']"
4124660,THE FINALS - APE SQUAD TGM25,"['액션', '무료 플레이']"
4124650,THE FINALS - DRG TGM25,"['액션', '무료 플레이']"
4047610,Tiny Lands 2 - Original Sountrack,[]
4093820,THE FINALS - KINGZERO TGM25,"['액션', '무료 플레이']"
2213330,Tiny Lands 2,"['캐주얼', '인디']"
3623250,SnowRunner - Dragon Wagons Dual Pack,"['어드벤처', '시뮬레이션']"
3631200,HONORLESS!,"['액션', '캐주얼', '인디']"
4006240,Banner Tactics,"['RPG', '전략']"
3977480,LeftUnknown,"['액션', '앞서 해보기']"
3896940,FPV SkyDive - Drone Soccer,"['어드벤처', '캐주얼', '레이싱', '시뮬레이션', '스포츠', '무료 플레이']"
3575930,出将入相,"['캐주얼', '인디', '전략']"
3660220,"사이베리아 리마스터 (Syberia - Remastered)	",['어드벤처']
4118300,CGA Trek,['전략']
3807940,Salvagers,"['액션', '어드벤처', '인디', 'RPG', '전략', '무료 플레이']"
3786330,FULL METAL SCHOOLGIRL - 코스튬 「파랑 버니 걸(아케미 전용)」 ,['액션']
3786320,FULL METAL SCHOOLGIRL - 코스튬 「검정 버니 걸(아케미 전용)」 ,['액션']
3786310,FULL METAL SCHOOLGIRL - 코스튬 「빨강 버니 걸(료코 전용)」 ,['액션']
3786300,FULL METAL SCHOOLGIRL - 코스튬 「검정 버니 걸(료코 전용)」 ,['액션']
3786290,FULL METAL SCHOOLGIRL - 코스튬 「간호복 베이비 블루(아케미 전용)」 ,['액션']
4067530,横断異道-The Crosswalk Anomaly,"['어드벤처', '인디']"
3786280,FULL METAL SCHOOLGIRL - 코스튬 「간호복 페일 핑크(아케미 전용)」 ,['액션']
4124050,Tower of Dew-Collecting,['캐주얼']
3786270,FULL METAL SCHOOLGIRL - 코스튬 「간호복 베이비 블루(료코 전용)」 ,['액션']
3786260,FULL METAL SCHOOLGIRL - 코스튬 「간호복 페일 핑크(료코 전용)」 ,['액션']
3786140,FULL METAL SCHOOLGIRL - 코스튬 「러블리 치어걸(아케미 전용)」 ,['액션']
3786130,FULL METAL SCHOOLGIRL - 코스튬 「상큼한 치어걸(아케미 전용)」 ,['액션']
3786120,FULL METAL SCHOOLGIRL - 코스튬 「러블리 치어걸(료코 전용)」 ,['액션']
3786100,FULL METAL SCHOOLGIRL - 코스튬 「상큼한 치어걸(료코 전용)」 ,['액션']
4117130,迷视,"['캐주얼', '인디', '전략']"
3837380,마녀가미－The Witch of Luludidea－,"['액션', '어드벤처']"
3856080,Ravenous Horde: Support The Developer,['액션']
2179490,Ravenous Horde,['액션']
3140660,Cendovia Uprising,"['전략', '앞서 해보기']"
3936890,Saving Princess Of Mars,['액션']
4133510,FULL METAL SCHOOLGIRL - 시즌 패스,['액션']
4051440,魔法少女ミーナ ～Battle of the Twin Demons～ Demo,"['액션', '어드벤처', '인디']"
4126240,Restaurant Scramble Soundtrack,[]
3480990,There Are No Orcs,"['인디', '전략']"
4047210,Konbini Simulator Demo,"['인디', '시뮬레이션', '전략']"
4156170,New Lands: The Shadow of Alvaria,"['캐주얼', '인디', '시뮬레이션', '전략']"
1420790,Card Chase,"['인디', '전략']"
2444530,Wreckage,"['액션', '인디', '레이싱', '스포츠', '앞서 해보기']"
3857190,Plant Plots,"['캐주얼', '인디', '전략']"
2417760,최후의 명령: B-Side,"['액션', '인디', 'RPG']"
4082620,The Bazaar - Celebrity Chef Warrior Mom Expansion,['전략']
3725910,伦敦旧影,"['캐주얼', '인디', 'RPG']"
3750350,YOIN: The shadow of dawn,"['어드벤처', '인디']"
3726210,Flatlands,"['인디', '전략']"
4006090,Froggin' Around Demo,"['어드벤처', '캐주얼', '인디']"
2849760,Onychomp : Lush journey,"['액션', '어드벤처', '인디', 'RPG']"
4153520,沙漠花开 美术集|超清CG壁纸包,"['어드벤처', '캐주얼', '인디', 'RPG']"
4089270,That's My Tofu Demo,"['캐주얼', '인디', '시뮬레이션', '전략']"
3736550,Work Life Balance,"['어드벤처', '인디', 'RPG']"
3808630,SRUSH,"['액션', '인디']"
4088390,Hamstory Demo,"['액션', '어드벤처', '인디']"
3828830,You Were Sent Alone,"['어드벤처', '인디', '시뮬레이션']"
4047950,WAR!,"['액션', '인디', '앞서 해보기']"
3906780,Restaurant Scramble,"['캐주얼', '인디', '전략']"
3837590,태고의 달인 쿵딱! 원더풀 페스티벌 클래식 Pack,['캐주얼']
4029890,By Strange Orders,['어드벤처']
3417310,Pokertown: Cheater's Paradise,"['인디', '시뮬레이션', '전략']"
4095980,QuackSquad Soundtrack,"['인디', '무료 플레이']"
2684230,Bubble Ball!,"['캐주얼', '인디']"
4040180,The Bar Souls Soundtrack,[]
4039940,The Bar Souls,"['액션', '어드벤처']"
2455780,Eventide Matter,"['액션', '인디', 'RPG']"
4153340,IRONBORNE Demo,[]
3908810,Stackflow,"['캐주얼', '인디', '전략', '앞서 해보기']"
3914210,Draft Day Sports: Pro Basketball 2026,"['인디', '시뮬레이션', '스포츠', '전략']"
3463170,Dyskairos,"['액션', '어드벤처', '인디']"
4146590,Gilroy's Grove Demo,[]
4101130,Mystery of Gevaudan Original Soundtrack,[]
3666490,라쿤의 고치: 포근한 퍼즐 게임,"['캐주얼', '인디']"
3729820,The Outer Worlds 2 Soundtrack,[]
4153350,Farm To Defend Demo,[]
3838310,Deckout,"['캐주얼', '인디', '전략']"
2453840,Dark Quest 4,"['RPG', '전략']"
3548520,DOG WITCH,"['인디', '전략']"
3905630,Tower Lords,"['캐주얼', '인디', 'RPG', '시뮬레이션', '전략']"
2286780,Aeruta,"['액션', '어드벤처', '인디', 'RPG']"
3730790,Q-UP,"['캐주얼', 'RPG', '시뮬레이션', '전략']"
4135660,Ninja Arena Demo,[]
3959250,Click to Civ,"['캐주얼', '인디', '전략']"
4045990,Pig Tower,"['액션', '캐주얼', '인디']"
2646710,ASV Soccer,['스포츠']
3921440,Bloodgrounds - Supporter Pack,"['인디', 'RPG', '전략']"
3921430,Bloodgrounds Soundtrack,[]
2507820,Bloodgrounds,"['인디', 'RPG', '전략', '앞서 해보기']"
4081180,Only For Eagles Pinball,"['액션', '어드벤처', '캐주얼', '인디']"
1634390,Ages of Cataria,"['캐주얼', '인디', '시뮬레이션', '전략', '앞서 해보기']"
3611630,Back 2 Basic,"['캐주얼', '인디']"
4129150,A Kobold Story: Trenchcoat Adventurer Demo,"['어드벤처', 'RPG']"
3805100,PLAGUN – The Plague Goes On,"['액션', '인디']"
3895080,Motorcycle Ride: Infinity,"['인디', '레이싱', '시뮬레이션', '앞서 해보기']"
4042620,P.A.N.D.A.,"['어드벤처', '캐주얼', '인디']"
3598950,Catfish Idle Pond,"['캐주얼', '인디', 'RPG', '시뮬레이션']"
3903070,Nature Flight Module,"['캐주얼', '인디', '시뮬레이션', '전략']"
2536870,Nazizombie's Slayer,"['액션', '어드벤처', '인디']"
3896030,Freelancers: Rogue Skies,"['액션', '인디', '시뮬레이션']"
3903080,Nature Jurassic Module,"['캐주얼', '인디', '시뮬레이션', '전략']"
3917520,The Crew Motorfest | JDM 자동차 팩,['레이싱']
3917500,The Crew Motorfest | Porsche 트리플 자동차 팩,['레이싱']
3917450,The Crew Motorfest | Alfa Romeo 더블 자동차 팩,['레이싱']
3917470,The Crew Motorfest | Ford 트리플 자동차 팩,['레이싱']
3917400,The Crew Motorfest | Chase Squad 팩,['레이싱']
3917430,The Crew Motorfest | BMW 더블 자동차 팩,['레이싱']
3917380,The Crew Motorfest | 3년 차 패스,['레이싱']
4121030,Whispers of Kelsden Demo,[]
1926610,Nature,"['캐주얼', '인디', '시뮬레이션', '전략']"
2488850,MY FATHER LIED,"['어드벤처', '인디']"
3367500,뚱땅뚱땅 보물 회수 컴퍼니,"['액션', '앞서 해보기']"
4135260,DON'T LOOK AT GRANDMA Soundtrack,[]
2928460,Gemwielders,['전략']
4057620,House Cleaner Simulator Demo,"['액션', '어드벤처', '캐주얼', '인디', '시뮬레이션']"
3931710,Heroes of Magic & Cards Demo,"['인디', '전략']"
3930920,Aquarist - Arctic DLC,"['캐주얼', '인디', '시뮬레이션']"
